epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4883,1.3956,1.0693,2.04046,0.05853,0.78384,0.4586,0.49175,0.33968,1.29472,1.04582,1.65271,0.05498,0.000174837,0.000174837,0.000174837
2,100.364,1.36379,0.88951,1.53287,0.04823,0.72792,0.47227,0.48818,0.34021,1.27962,1.03953,1.43502,0.05069,0.000349932,0.000349932,0.000349932
3,144.365,1.33674,0.89339,1.36026,0.05095,0.72568,0.46304,0.48763,0.33484,1.28109,1.1067,1.34375,0.05505,0.000524078,0.000524078,0.000524078
4,188.582,1.30083,0.85859,1.30386,0.04544,0.73309,0.47179,0.48949,0.33772,1.26511,1.04637,1.28371,0.05137,0.000522794,0.000522794,0.000522794
5,233.971,1.27848,0.8283,1.24604,0.04359,0.73812,0.46751,0.49139,0.33575,1.27383,1.10728,1.24266,0.04761,0.00052031,0.00052031,0.00052031
6,273.457,1.28185,0.82353,1.20546,0.04522,0.75745,0.48103,0.49946,0.34268,1.26229,1.04708,1.22821,0.04468,0.000517128,0.000517128,0.000517128
7,319.323,1.28791,0.82667,1.19632,0.04519,0.75096,0.48641,0.5041,0.34887,1.24747,1.00521,1.20055,0.04585,0.000513257,0.000513257,0.000513257
8,364.641,1.27291,0.82302,1.16842,0.04496,0.7426,0.47599,0.50112,0.34517,1.24692,1.05325,1.19577,0.04912,0.000508706,0.000508706,0.000508706
9,408.678,1.26861,0.80092,1.14497,0.04471,0.74851,0.47402,0.50127,0.34848,1.24882,1.02961,1.17877,0.04873,0.00050349,0.00050349,0.00050349
10,452.626,1.24766,0.79453,1.13969,0.04256,0.75555,0.47502,0.50692,0.35142,1.23545,1.01331,1.16595,0.04957,0.000497621,0.000497621,0.000497621
11,496.57,1.24122,0.79274,1.12706,0.04418,0.75971,0.47394,0.50602,0.34679,1.24345,1.00197,1.14814,0.04669,0.000491117,0.000491117,0.000491117
12,540.876,1.25108,0.78952,1.10304,0.04288,0.75317,0.47081,0.49661,0.34612,1.23891,1.02271,1.14115,0.0468,0.000483995,0.000483995,0.000483995
13,586.804,1.22186,0.77301,1.09688,0.04128,0.77813,0.47722,0.50554,0.35217,1.22717,1.00524,1.14373,0.04412,0.000476274,0.000476274,0.000476274
14,632.616,1.19067,0.76804,1.09391,0.03937,0.75069,0.48484,0.51308,0.35642,1.22655,1.0097,1.13919,0.04342,0.000467975,0.000467975,0.000467975
15,678.444,1.20988,0.7714,1.08089,0.0416,0.75994,0.48413,0.50695,0.35621,1.21442,0.98714,1.13242,0.04227,0.000459123,0.000459123,0.000459123
16,724.196,1.20538,0.76331,1.08996,0.03961,0.75852,0.47859,0.51045,0.35565,1.21508,0.97654,1.1275,0.04138,0.000449739,0.000449739,0.000449739
17,771.907,1.20457,0.75155,1.06089,0.04235,0.7327,0.49023,0.50903,0.35596,1.22445,0.96914,1.10739,0.04798,0.000439852,0.000439852,0.000439852
18,815.794,1.20305,0.74696,1.06114,0.0443,0.7268,0.49007,0.50944,0.36146,1.2106,0.95796,1.11636,0.0418,0.000429486,0.000429486,0.000429486
19,861.608,1.19472,0.7448,1.05922,0.04024,0.74872,0.48849,0.51175,0.36059,1.20499,0.97113,1.11084,0.04109,0.000418672,0.000418672,0.000418672
20,908.243,1.16616,0.72531,1.04754,0.03854,0.76868,0.4856,0.5159,0.36259,1.19879,0.97382,1.10632,0.03934,0.000407438,0.000407438,0.000407438
21,951.25,1.16896,0.73558,1.04286,0.03843,0.76921,0.48281,0.51557,0.36226,1.20087,1.02889,1.10238,0.04096,0.000395815,0.000395815,0.000395815
22,997.546,1.18369,0.72782,1.03218,0.03829,0.75253,0.48258,0.51912,0.36695,1.20307,0.95653,1.09391,0.04252,0.000383836,0.000383836,0.000383836
23,1043.61,1.16333,0.72554,1.03266,0.0398,0.72484,0.49374,0.5178,0.36869,1.18706,0.96274,1.08698,0.04376,0.000371532,0.000371532,0.000371532
24,1089.79,1.16582,0.71725,1.02672,0.0401,0.79555,0.48659,0.52112,0.37022,1.18313,0.95873,1.09067,0.0402,0.000358938,0.000358938,0.000358938
25,1134.32,1.15728,0.71706,1.03291,0.03841,0.74718,0.49482,0.51703,0.36971,1.17891,0.95425,1.09512,0.04037,0.000346089,0.000346089,0.000346089
26,1180.27,1.13958,0.70828,1.02571,0.03717,0.77078,0.49358,0.52028,0.36908,1.18892,0.94626,1.08451,0.04224,0.000333019,0.000333019,0.000333019
27,1225.87,1.12546,0.68825,1.0128,0.03567,0.75132,0.49856,0.52255,0.37106,1.1709,0.95438,1.08239,0.04236,0.000319764,0.000319764,0.000319764
28,1272.59,1.13432,0.69216,1.01913,0.0363,0.75998,0.48637,0.5203,0.36803,1.174,0.94814,1.07968,0.04031,0.000306361,0.000306361,0.000306361
29,1318.76,1.167,0.70228,1.01145,0.03783,0.75964,0.49411,0.51982,0.3693,1.17075,0.93324,1.07285,0.0403,0.000292846,0.000292846,0.000292846
30,1365.82,1.16084,0.70382,1.00972,0.03794,0.77538,0.48759,0.52372,0.36769,1.16414,0.92374,1.07655,0.03947,0.000279257,0.000279257,0.000279257
31,1407.15,1.1305,0.68818,1.00714,0.03551,0.75132,0.49727,0.52199,0.3701,1.16264,0.93238,1.07207,0.03978,0.00026563,0.00026563,0.00026563
32,1453.58,1.10045,0.67389,1.00268,0.03743,0.75028,0.49156,0.5153,0.36797,1.16202,0.91975,1.06922,0.03948,0.000252003,0.000252003,0.000252003
